"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"59","Campo do Tenente","Índice Ipardes de Desempenho Municipal (IPDM)",0.4991,0.5134,0.4784,0.5336,0.5934,0.6522,0.6567,0.645,0.6675
"60","Campo Largo","Índice Ipardes de Desempenho Municipal (IPDM)",0.6307,0.666,0.6247,0.681,0.7061,0.7259,0.7222,0.7351,0.7416
"61","Campo Magro","Índice Ipardes de Desempenho Municipal (IPDM)",0.5876,0.5633,0.5835,0.6332,0.6499,0.6637,0.6494,0.7003,0.7108
"62","Campo Mourão","Índice Ipardes de Desempenho Municipal (IPDM)",0.6789,0.6517,0.6785,0.7387,0.768,0.7595,0.7683,0.7989,0.7934
"63","Cândido de Abreu","Índice Ipardes de Desempenho Municipal (IPDM)",0.4587,0.4441,0.3754,0.4229,0.4791,0.506,0.5524,0.6079,0.5754
"64","Candói","Índice Ipardes de Desempenho Municipal (IPDM)",0.58,0.6131,0.5973,0.6085,0.545,0.5613,0.5789,0.6367,0.6753
"65","Cantagalo","Índice Ipardes de Desempenho Municipal (IPDM)",0.4923,0.5006,0.4902,0.525,0.5593,0.557,0.556,0.6014,0.6235
"66","Capanema","Índice Ipardes de Desempenho Municipal (IPDM)",0.6063,0.6054,0.5981,0.6599,0.6698,0.6921,0.7446,0.7628,0.7661
"67","Capitão Leônidas Marques","Índice Ipardes de Desempenho Municipal (IPDM)",0.6117,0.6499,0.6758,0.7286,0.7181,0.7117,0.7054,0.7275,0.728
"68","Carambeí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6708,0.6758,0.6632,0.6716,0.7302,0.7296,0.7143,0.7261,0.7057
"69","Carlópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.6094,0.6519,0.645,0.6345,0.6451,0.6382,0.6319,0.6735,0.6742
"70","Cascavel","Índice Ipardes de Desempenho Municipal (IPDM)",0.7127,0.7425,0.7453,0.7643,0.7732,0.7796,0.791,0.8038,0.8151
