"","Localidade","Variável","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"341","São Carlos do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6111,0.6821,0.6992,0.732,0.7258,0.7473,0.7693,0.7095,0.663
"342","São Jerônimo da Serra","Índice Ipardes de Desempenho Municipal (IPDM)",0.3438,0.4122,0.4382,0.4764,0.502,0.5267,0.5177,0.4923,0.5163
"343","São João","Índice Ipardes de Desempenho Municipal (IPDM)",0.6652,0.6331,0.6742,0.7322,0.7589,0.7726,0.759,0.754,0.7607
"344","São João do Caiuá","Índice Ipardes de Desempenho Municipal (IPDM)",0.5258,0.5215,0.5733,0.5721,0.6085,0.6526,0.6735,0.6496,0.6657
"345","São João do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.5865,0.6274,0.6301,0.6515,0.6413,0.6403,0.6296,0.6265,0.6478
"346","São João do Triunfo","Índice Ipardes de Desempenho Municipal (IPDM)",0.4543,0.501,0.5118,0.5409,0.5433,0.5802,0.5841,0.6532,0.645
"347","São Jorge do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.705,0.7209,0.7164,0.7011,0.7128,0.7299,0.725,0.7389,0.7196
"348","São Jorge do Patrocínio","Índice Ipardes de Desempenho Municipal (IPDM)",0.6662,0.6534,0.6486,0.7118,0.6767,0.6979,0.684,0.7162,0.7077
"349","São Jorge d'Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.6425,0.7,0.6625,0.7058,0.7066,0.7024,0.7067,0.7063,0.7547
"350","São José da Boa Vista","Índice Ipardes de Desempenho Municipal (IPDM)",0.641,0.6219,0.5882,0.6152,0.6364,0.5688,0.5984,0.6468,0.6702
"351","São José das Palmeiras","Índice Ipardes de Desempenho Municipal (IPDM)",0.599,0.5226,0.5106,0.6071,0.6301,0.6094,0.5952,0.6402,0.6649
"352","São José dos Pinhais","Índice Ipardes de Desempenho Municipal (IPDM)",0.6362,0.6486,0.6438,0.6913,0.7164,0.7355,0.7405,0.7725,0.7717
"353","São Manoel do Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.7259,0.7288,0.7273,0.754,0.7519,0.7062,0.7365,0.6658,0.7362
"354","São Mateus do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.6597,0.6776,0.6651,0.6754,0.6989,0.7119,0.7402,0.7474,0.7604
"355","São Miguel do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6407,0.654,0.6433,0.6817,0.6686,0.6623,0.6635,0.6933,0.6824
"356","São Pedro do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.5103,0.5317,0.5178,0.5847,0.5837,0.5971,0.647,0.6878,0.6926
"357","São Pedro do Ivaí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6834,0.7109,0.7069,0.7429,0.7151,0.6989,0.7026,0.7008,0.7062
"358","São Pedro do Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.683,0.6879,0.6944,0.6568,0.6484,0.5362,0.5633,0.6741,0.6881
"359","São Sebastião da Amoreira","Índice Ipardes de Desempenho Municipal (IPDM)",0.5603,0.5436,0.547,0.6139,0.6082,0.6275,0.5931,0.6274,0.6419
"360","São Tomé","Índice Ipardes de Desempenho Municipal (IPDM)",0.7035,0.7207,0.6831,0.7373,0.7303,0.7618,0.7365,0.7383,0.7573
"361","Sapopema","Índice Ipardes de Desempenho Municipal (IPDM)",0.4723,0.4886,0.4694,0.4838,0.5048,0.4906,0.5439,0.6087,0.6149
"362","Sarandi","Índice Ipardes de Desempenho Municipal (IPDM)",0.5834,0.5864,0.5775,0.602,0.6247,0.6327,0.6434,0.6576,0.6701
"363","Saudade do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.6549,0.6902,0.6694,0.7134,0.7731,0.7542,0.7767,0.7699,0.7863
"364","Sengés","Índice Ipardes de Desempenho Municipal (IPDM)",0.5574,0.5954,0.6072,0.6301,0.6381,0.6402,0.649,0.6986,0.7031
"365","Serranópolis do Iguaçu","Índice Ipardes de Desempenho Municipal (IPDM)",0.7275,0.6917,0.6574,0.7018,0.736,0.7123,0.7203,0.7492,0.7435
"366","Sertaneja","Índice Ipardes de Desempenho Municipal (IPDM)",0.6535,0.6561,0.6869,0.683,0.7185,0.7376,0.7274,0.7333,0.7171
"367","Sertanópolis","Índice Ipardes de Desempenho Municipal (IPDM)",0.6838,0.6864,0.6861,0.6684,0.7105,0.7243,0.7205,0.75,0.7555
"368","Siqueira Campos","Índice Ipardes de Desempenho Municipal (IPDM)",0.6213,0.6371,0.6568,0.683,0.6935,0.7085,0.7208,0.7351,0.7403
"369","Sulina","Índice Ipardes de Desempenho Municipal (IPDM)",0.4869,0.4965,0.4843,0.6014,0.6576,0.7173,0.6825,0.7077,0.7087
"370","Tamarana","Índice Ipardes de Desempenho Municipal (IPDM)",0.5724,0.5753,0.5787,0.5509,0.516,0.5511,0.5473,0.5614,0.5523
"371","Tamboara","Índice Ipardes de Desempenho Municipal (IPDM)",0.5942,0.5865,0.6434,0.6371,0.6443,0.6334,0.6324,0.6825,0.7017
"372","Tapejara","Índice Ipardes de Desempenho Municipal (IPDM)",0.6653,0.6848,0.71,0.732,0.7209,0.7292,0.7473,0.7446,0.7607
"373","Tapira","Índice Ipardes de Desempenho Municipal (IPDM)",0.6037,0.5983,0.5915,0.5999,0.5929,0.6312,0.6364,0.6871,0.6522
"374","Teixeira Soares","Índice Ipardes de Desempenho Municipal (IPDM)",0.5141,0.5536,0.4854,0.5609,0.586,0.6374,0.6215,0.6183,0.6287
"375","Telêmaco Borba","Índice Ipardes de Desempenho Municipal (IPDM)",0.6096,0.6349,0.5945,0.6759,0.685,0.704,0.7083,0.7507,0.747
"376","Terra Boa","Índice Ipardes de Desempenho Municipal (IPDM)",0.7031,0.7071,0.7127,0.7365,0.7407,0.7458,0.7595,0.7994,0.7886
"377","Terra Rica","Índice Ipardes de Desempenho Municipal (IPDM)",0.6857,0.7154,0.713,0.7163,0.6827,0.6864,0.6914,0.7262,0.737
"378","Terra Roxa","Índice Ipardes de Desempenho Municipal (IPDM)",0.5954,0.5937,0.5901,0.6194,0.6202,0.6291,0.6554,0.692,0.6984
"379","Tibagi","Índice Ipardes de Desempenho Municipal (IPDM)",0.5497,0.5897,0.5873,0.5861,0.5859,0.6042,0.6235,0.654,0.6479
"380","Tijucas do Sul","Índice Ipardes de Desempenho Municipal (IPDM)",0.5179,0.5561,0.536,0.5909,0.602,0.6561,0.6932,0.6611,0.6567
"381","Toledo","Índice Ipardes de Desempenho Municipal (IPDM)",0.7404,0.7424,0.7331,0.7715,0.7865,0.8019,0.8229,0.8401,0.8317
"382","Tomazina","Índice Ipardes de Desempenho Municipal (IPDM)",0.6004,0.6023,0.5951,0.5952,0.5974,0.6525,0.6404,0.6643,0.6875
"383","Três Barras do Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.5343,0.6004,0.6083,0.658,0.676,0.7023,0.7176,0.7136,0.7175
"384","Tunas do Paraná","Índice Ipardes de Desempenho Municipal (IPDM)",0.393,0.4551,0.4394,0.4698,0.4942,0.5773,0.5519,0.5526,0.5132
"385","Tuneiras do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.5979,0.6214,0.5751,0.5896,0.6324,0.6541,0.6622,0.6998,0.671
"386","Tupãssi","Índice Ipardes de Desempenho Municipal (IPDM)",0.6881,0.6852,0.6837,0.6938,0.702,0.7176,0.7338,0.7559,0.7621
"387","Turvo","Índice Ipardes de Desempenho Municipal (IPDM)",0.5194,0.5511,0.5002,0.5618,0.5543,0.6054,0.6022,0.672,0.6293
"388","Ubiratã","Índice Ipardes de Desempenho Municipal (IPDM)",0.6295,0.6655,0.6891,0.7291,0.7463,0.7591,0.748,0.7842,0.7973
"389","Umuarama","Índice Ipardes de Desempenho Municipal (IPDM)",0.6427,0.6697,0.6807,0.6826,0.6836,0.6912,0.6891,0.7195,0.738
"390","União da Vitória","Índice Ipardes de Desempenho Municipal (IPDM)",0.7023,0.6633,0.6585,0.7028,0.7119,0.7022,0.7164,0.754,0.7574
"391","Uniflor","Índice Ipardes de Desempenho Municipal (IPDM)",0.6397,0.6956,0.5361,0.5437,0.5359,0.6708,0.6622,0.7311,0.7375
"392","Uraí","Índice Ipardes de Desempenho Municipal (IPDM)",0.6046,0.6362,0.6133,0.6272,0.6453,0.667,0.684,0.6471,0.6684
"393","Ventania","Índice Ipardes de Desempenho Municipal (IPDM)",0.3706,0.4499,0.4849,0.5793,0.5597,0.5981,0.6087,0.6606,0.6388
"394","Vera Cruz do Oeste","Índice Ipardes de Desempenho Municipal (IPDM)",0.6062,0.6116,0.6111,0.6505,0.6715,0.6791,0.6607,0.6812,0.6775
"395","Verê","Índice Ipardes de Desempenho Municipal (IPDM)",0.6369,0.6904,0.6901,0.7064,0.6997,0.7062,0.7117,0.7397,0.7717
"396","Virmond","Índice Ipardes de Desempenho Municipal (IPDM)",0.564,0.6172,0.5927,0.5989,0.7259,0.7152,0.7191,0.7062,0.75
"397","Vitorino","Índice Ipardes de Desempenho Municipal (IPDM)",0.6733,0.6522,0.6307,0.6351,0.6735,0.6743,0.7059,0.7155,0.7346
"398","Wenceslau Braz","Índice Ipardes de Desempenho Municipal (IPDM)",0.5217,0.5556,0.5651,0.5937,0.614,0.599,0.606,0.679,0.6816
"399","Xambrê","Índice Ipardes de Desempenho Municipal (IPDM)",0.52,0.5308,0.5397,0.5899,0.5894,0.584,0.5884,0.6641,0.6698
