"city_code";"group_code";"variable_code";"type_code";"standard_code";"year";"result";"population"
4104204;1;6;1;6;"2010";15603;112548
4104204;1;7;1;6;"2010";232359;112548
4104204;1;8;1;6;"2010";267495;112548
4104253;1;1;1;6;"2010";209893;23607
4104253;1;2;1;6;"2010";193404;23607
4104253;1;3;1;6;"2010";26360;23607
4104253;1;4;1;6;"2010";42424;23607
4104253;1;5;1;6;"2010";68974;23607
4104253;1;6;1;6;"2010";8449;23607
4104253;1;7;1;6;"2010";55646;23607
4104253;1;8;1;6;"2010";16489;23607
4104303;1;1;1;6;"2010";1702323;85896
4104303;1;2;1;6;"2010";1535487;85896
4104303;1;3;1;6;"2010";67982;85896
4104303;1;4;1;6;"2010";380641;85896
4104303;1;5;1;6;"2010";899206;85896
4104303;1;6;1;6;"2010";19523;85896
4104303;1;7;1;6;"2010";187659;85896
4104303;1;8;1;6;"2010";166836;85896
4104402;1;1;1;6;"2010";136413;18100
4104402;1;2;1;6;"2010";129472;18100
4104402;1;3;1;6;"2010";47445;18100
4104402;1;4;1;6;"2010";8486;18100
4104402;1;5;1;6;"2010";37116;18100
4104402;1;6;1;6;"2010";8191;18100
4104402;1;7;1;6;"2010";36425;18100
4104402;1;8;1;6;"2010";6941;18100
4104428;1;1;1;6;"2010";220622;16271
4104428;1;2;1;6;"2010";203715;16271
4104428;1;3;1;6;"2010";73684;16271
4104428;1;4;1;6;"2010";13601;16271
4104428;1;5;1;6;"2010";79646;16271
4104428;1;6;1;6;"2010";14725;16271
4104428;1;7;1;6;"2010";36785;16271
4104428;1;8;1;6;"2010";16907;16271
4104451;1;1;1;6;"2010";110319;12733
4104451;1;2;1;6;"2010";104279;12733
4104451;1;3;1;6;"2010";35754;12733
4104451;1;4;1;6;"2010";6030;12733
4104451;1;5;1;6;"2010";34144;12733
4104451;1;6;1;6;"2010";8518;12733
4104451;1;7;1;6;"2010";28351;12733
4104451;1;8;1;6;"2010";6041;12733
4104501;1;1;1;6;"2010";277317;18681
4104501;1;2;1;6;"2010";255186;18681
4104501;1;3;1;6;"2010";73303;18681
4104501;1;4;1;6;"2010";46891;18681
4104501;1;5;1;6;"2010";93039;18681
4104501;1;6;1;6;"2010";14969;18681
4104501;1;7;1;6;"2010";41953;18681
4104501;1;8;1;6;"2010";22131;18681
4104600;1;1;1;6;"2010";707615;13870
4104600;1;2;1;6;"2010";694195;13870
4104600;1;3;1;6;"2010";49397;13870
4104600;1;4;1;6;"2010";547287;13870
4104600;1;5;1;6;"2010";63801;13870
4104600;1;6;1;6;"2010";47269;13870
4104600;1;7;1;6;"2010";33710;13870
4104600;1;8;1;6;"2010";13420;13870
4104659;1;1;1;6;"2010";664493;17537
4104659;1;2;1;6;"2010";592081;17537
4104659;1;3;1;6;"2010";100867;17537
4104659;1;4;1;6;"2010";197730;17537
4104659;1;5;1;6;"2010";243851;17537
4104659;1;6;1;6;"2010";34676;17537
4104659;1;7;1;6;"2010";49633;17537
4104659;1;8;1;6;"2010";72412;17537
4104709;1;1;1;6;"2010";188987;13581
4104709;1;2;1;6;"2010";178286;13581
4104709;1;3;1;6;"2010";86237;13581
4104709;1;4;1;6;"2010";15910;13581
4104709;1;5;1;6;"2010";46933;13581
4104709;1;6;1;6;"2010";13789;13581
4104709;1;7;1;6;"2010";29206;13581
4104709;1;8;1;6;"2010";10701;13581
4104808;1;1;1;6;"2010";5317063;296254
4104808;1;2;1;6;"2010";4708678;296254
4104808;1;3;1;6;"2010";248948;296254
4104808;1;4;1;6;"2010";844757;296254
4104808;1;5;1;6;"2010";3005006;296254
4104808;1;6;1;6;"2010";18578;296254
4104808;1;7;1;6;"2010";609967;296254
4104808;1;8;1;6;"2010";608385;296254
4104907;1;1;1;6;"2010";1113220;68071
4104907;1;2;1;6;"2010";1027521;68071
4104907;1;3;1;6;"2010";279929;68071
4104907;1;4;1;6;"2010";185506;68071
4104907;1;5;1;6;"2010";412504;68071
4104907;1;6;1;6;"2010";16594;68071
4104907;1;7;1;6;"2010";149582;68071
4104907;1;8;1;6;"2010";85699;68071
4105003;1;1;1;6;"2010";136832;9673
4105003;1;2;1;6;"2010";131275;9673
4105003;1;3;1;6;"2010";64710;9673
4105003;1;4;1;6;"2010";9110;9673
4105003;1;5;1;6;"2010";34908;9673
4105003;1;6;1;6;"2010";13412;9673
4105003;1;7;1;6;"2010";22547;9673
4105003;1;8;1;6;"2010";5557;9673
4105102;1;1;1;6;"2010";95752;11474
4105102;1;2;1;6;"2010";92017;11474
4105102;1;3;1;6;"2010";29444;11474
4105102;1;4;1;6;"2010";5585;11474
4105102;1;5;1;6;"2010";32832;11474
4105102;1;6;1;6;"2010";8557;11474
4105102;1;7;1;6;"2010";24156;11474
4105102;1;8;1;6;"2010";3734;11474
4105201;1;1;1;6;"2010";143704;18660
4105201;1;2;1;6;"2010";140541;18660
4105201;1;3;1;6;"2010";70814;18660
4105201;1;4;1;6;"2010";10432;18660
4105201;1;5;1;6;"2010";22575;18660
4105201;1;6;1;6;"2010";8484;18660
4105201;1;7;1;6;"2010";36719;18660
4105201;1;8;1;6;"2010";3162;18660
4105300;1;1;1;6;"2010";268221;11413
4105300;1;2;1;6;"2010";244723;11413
4105300;1;3;1;6;"2010";63755;11413
4105300;1;4;1;6;"2010";61321;11413
4105300;1;5;1;6;"2010";92058;11413
4105300;1;6;1;6;"2010";24313;11413
4105300;1;7;1;6;"2010";27588;11413
4105300;1;8;1;6;"2010";23498;11413
4105409;1;1;1;6;"2010";255385;19517
4105409;1;2;1;6;"2010";237365;19517
4105409;1;3;1;6;"2010";62644;19517
4105409;1;4;1;6;"2010";33525;19517
4105409;1;5;1;6;"2010";95370;19517
4105409;1;6;1;6;"2010";12978;19517
4105409;1;7;1;6;"2010";45827;19517
4105409;1;8;1;6;"2010";18020;19517
4105508;1;1;1;6;"2010";1212579;68629
4105508;1;2;1;6;"2010";1112404;68629
4105508;1;3;1;6;"2010";105210;68629
4105508;1;4;1;6;"2010";399517;68629
4105508;1;5;1;6;"2010";459537;68629
4105508;1;6;1;6;"2010";17333;68629
4105508;1;7;1;6;"2010";148140;68629
4105508;1;8;1;6;"2010";100175;68629
4105607;1;1;1;6;"2010";143961;11079
4105607;1;2;1;6;"2010";133571;11079
4105607;1;3;1;6;"2010";20999;11079
4105607;1;4;1;6;"2010";42516;11079
4105607;1;5;1;6;"2010";44576;11079
4105607;1;6;1;6;"2010";13014;11079
4105607;1;7;1;6;"2010";25480;11079
4105607;1;8;1;6;"2010";10390;11079
4105706;1;1;1;6;"2010";185785;17995
4105706;1;2;1;6;"2010";172438;17995
4105706;1;3;1;6;"2010";48271;17995
4105706;1;4;1;6;"2010";10311;17995
4105706;1;5;1;6;"2010";76211;17995
4105706;1;6;1;6;"2010";10776;17995
