code;variable;population;year;gender;level;group
4101101;10 a 14;606;2020;man;3;younger
4101101;15 a 19;632;2020;man;4;worker
4101101;20 a 24;630;2020;man;5;worker
4101101;25 a 29;698;2020;man;6;worker
4101101;30 a 34;680;2020;man;7;worker
4101101;35 a 39;683;2020;man;8;worker
4101101;40 a 44;696;2020;man;9;worker
4101101;45 a 49;651;2020;man;10;worker
4101101;50 a 54;700;2020;man;11;worker
4101101;55 a 59;659;2020;man;12;worker
4101101;60 a 64;491;2020;man;13;worker
4101101;> 65;1339;2020;man;14;older
4101150;0 a 4;96;2020;man;1;younger
4101150;5 a 9;96;2020;man;2;younger
4101150;10 a 14;105;2020;man;3;younger
4101150;15 a 19;100;2020;man;4;worker
4101150;20 a 24;105;2020;man;5;worker
4101150;25 a 29;108;2020;man;6;worker
4101150;30 a 34;135;2020;man;7;worker
4101150;35 a 39;115;2020;man;8;worker
4101150;40 a 44;100;2020;man;9;worker
4101150;45 a 49;106;2020;man;10;worker
4101150;50 a 54;109;2020;man;11;worker
4101150;55 a 59;98;2020;man;12;worker
4101150;60 a 64;73;2020;man;13;worker
4101150;> 65;165;2020;man;14;older
4101200;0 a 4;761;2020;man;1;younger
4101200;5 a 9;740;2020;man;2;younger
4101200;10 a 14;648;2020;man;3;younger
4101200;15 a 19;631;2020;man;4;worker
4101200;20 a 24;734;2020;man;5;worker
4101200;25 a 29;698;2020;man;6;worker
4101200;30 a 34;631;2020;man;7;worker
4101200;35 a 39;651;2020;man;8;worker
4101200;40 a 44;626;2020;man;9;worker
4101200;45 a 49;602;2020;man;10;worker
4101200;50 a 54;634;2020;man;11;worker
4101200;55 a 59;679;2020;man;12;worker
4101200;60 a 64;496;2020;man;13;worker
4101200;> 65;1131;2020;man;14;older
4101309;0 a 4;253;2020;man;1;younger
4101309;5 a 9;257;2020;man;2;younger
4101309;10 a 14;243;2020;man;3;younger
4101309;15 a 19;235;2020;man;4;worker
4101309;20 a 24;262;2020;man;5;worker
4101309;25 a 29;302;2020;man;6;worker
4101309;30 a 34;264;2020;man;7;worker
4101309;35 a 39;238;2020;man;8;worker
4101309;40 a 44;316;2020;man;9;worker
4101309;45 a 49;284;2020;man;10;worker
4101309;50 a 54;323;2020;man;11;worker
4101309;55 a 59;295;2020;man;12;worker
4101309;60 a 64;250;2020;man;13;worker
4101309;> 65;493;2020;man;14;older
4101408;0 a 4;4480;2020;man;1;younger
